Feature \ Route,187 2019,,,,,
Block #,0.042967465,,,,,
Stop Sequence,-0.028213507,,,,,
Latitude,,,,,,
Longitude,0.023953784,,,,,
Difference (Minutes),1,,,,,
Dwell Time,-0.135525719,,,,,
Scheduled Run Time,0.019755953,,,,,
Actual Run Time,0.073344944,,,,,
Prev Departure Offset,0.647585498,,,,,
Enc_Hour__0,-0.010234976,,,,,
Enc_Hour__4,-0.051533536,,,,,
Enc_Hour__5,-0.060641974,,,,,
Enc_Hour__6,-0.064099607,,,,,
Enc_Hour__7,-0.022291199,,,,,
Enc_Hour__8,0.009118752,,,,,
Enc_Hour__9,-0.032867176,,,,,
Enc_Hour__10,-0.056608225,,,,,
Enc_Hour__11,-0.040198002,,,,,
Enc_Hour__12,-0.000179123,,,,,
Enc_Hour__13,0.019825076,,,,,
Enc_Hour__14,0.030634922,,,,,
Enc_Hour__15,0.061347197,,,,,
Enc_Hour__16,0.061290331,,,,,
Enc_Hour__17,0.095728488,,,,,
Enc_Hour__18,0.059901562,,,,,
Enc_Hour__19,-0.015980286,,,,,
Enc_Hour__20,-0.014346988,,,,,
Enc_Hour__21,0.014253072,,,,,
Enc_Hour__22,-0.021299242,,,,,
Enc_Hour__23,-0.051763641,,,,,
Enc_Month__1,-0.008225795,,,,,
Enc_Month__2,-0.026522933,,,,,
Enc_Month__3,-0.032314955,,,,,
Enc_Month__4,-0.037877359,,,,,
Enc_Month__5,-0.028004193,,,,,
Enc_Month__6,-0.016523749,,,,,
Enc_Month__7,-0.033813034,,,,,
Enc_Month__8,0.011908684,,,,,
Enc_Month__9,0.003772037,,,,,
Enc_Month__10,0.103456998,,,,,
Enc_Month__12,0.02283621,,,,,
Enc_Day__Friday,0.08418698,,,,,
Enc_Day__Monday,-0.045479022,,,,,
Enc_Day__Saturday,0.060890915,,,,,
Enc_Day__Sunday,-0.050590181,,,,,
Enc_Day__Thursday,0.010692121,,,,,
Enc_Day__Tuesday,-0.037847944,,,,,
Enc_Day__Wednesday,-0.016967726,,,,,
Enc_Miles__-0.579,-0.004982733,,,,,
Enc_Miles__0.0,-0.07067465,,,,,
Enc_Miles__0.579,8.45E-05,,,,,
Enc_Miles__0.589,-0.012057324,,,,,
