Difference (Minutes),1,,Difference (Minutes),1
Prev Departure Offset,0.827111002,,Prev Departure Offset,0.827111002
Actual Depart,0.067234963,,Enc_Day_of_Week__3323,0.146435673
Transit Date Month,-0.080975735,,Actual Depart,0.067234963
Enc_Actual_Hour_Depart__0,-0.002693038,,Enc_Actual_Hour_Depart__17,0.056408063
Enc_Actual_Hour_Depart__1,-0.000679166,,Enc_Transit_Date__3/6/2020,0.049112675
Enc_Actual_Hour_Depart__2,0.004799394,,Enc_Day_of_Week__5058,0.04612919
Enc_Actual_Hour_Depart__3,-0.014122388,,Enc_Day_of_Week__5016,0.045663194
Enc_Actual_Hour_Depart__4,-0.014055651,,Enc_Transit_Date__2/1/2020,0.045215992
Enc_Actual_Hour_Depart__5,-0.012265813,,Enc_Day_of_Week__4948,0.043216539
Enc_Actual_Hour_Depart__6,-0.02324352,,Enc_Day_of_Week__5041,0.042675008
Enc_Actual_Hour_Depart__7,-0.028321459,,Enc_Day_of_Week__4606,0.041937056
Enc_Actual_Hour_Depart__8,-0.019682925,,Enc_Day_of_Week__5063,0.040487282
Enc_Actual_Hour_Depart__9,-0.021285309,,Enc_Day_of_Week__4603,0.039417935
Enc_Actual_Hour_Depart__10,-0.033478486,,Enc_Actual_Hour_Depart__16,0.037225124
Enc_Actual_Hour_Depart__11,-0.022561134,,Enc_Day_of_Week__3257,0.036845254
Enc_Actual_Hour_Depart__12,-0.007425725,,Enc_Transit_Date__1/30/2020,0.035499625
Enc_Actual_Hour_Depart__13,0.007835564,,Enc_Day_of_Week__3204,0.03509554
Enc_Actual_Hour_Depart__14,0.009715727,,Enc_Stop_Sequence__10707,0.034653684
Enc_Actual_Hour_Depart__15,0.013981317,,Enc_Stop_ID__0.0,0.034446434
Enc_Actual_Hour_Depart__16,0.037225124,,Enc_Miles__Saturday,0.034344707
Enc_Actual_Hour_Depart__17,0.056408063,,Enc_Stop_Sequence__10817,0.033136283
Enc_Actual_Hour_Depart__18,0.025210756,,Enc_Transit_Date__3/3/2020,0.032912697
Enc_Actual_Hour_Depart__19,-0.010194866,,Enc_Day_of_Week__5130,0.032046282
Enc_Actual_Hour_Depart__20,-0.00138832,,Enc_Day_of_Week__4655,0.031324213
Enc_Actual_Hour_Depart__21,0.011755819,,Enc_Block_Number__1172,0.031202787
Enc_Actual_Hour_Depart__22,0.016628623,,Enc_Transit_Date__2/25/2020,0.030777807
Enc_Actual_Hour_Depart__23,0.006261071,,Enc_Badge_#__13,0.030554124
Enc_Transit_Date__1/1/2020,0.002509026,,Enc_Day_of_Week__4691,0.029994736
Enc_Transit_Date__1/10/2020,0.006834072,,Enc_Transit_Date__2/14/2020,0.029825365
Enc_Transit_Date__1/11/2020,0.004232134,,Enc_Transit_Date__2/6/2020,0.028988051
Enc_Transit_Date__1/12/2020,0.001644368,,Enc_Stop_Sequence__10290,0.028869437
